,topic,Q0,docId,rank,score,score_descr,score_similarity
0,101,Q0,en.noclean.c4-train.00826-of-07168.103991,1,27.66659927368164,-0.025812529027462,0.5130369812250137
1,101,Q0,en.noclean.c4-train.05153-of-07168.71380,2,27.86529922485352,-0.0259806159883737,0.5201974759499232
2,101,Q0,en.noclean.c4-train.03110-of-07168.140073,3,27.52569961547852,-0.0260053556412458,0.3777641554673513
3,101,Q0,en.noclean.c4-train.04383-of-07168.95002,4,28.190900802612305,-0.0293513517826795,0.4258233457803726
4,101,Q0,en.noclean.c4-train.01790-of-07168.111015,5,27.36039924621582,-0.0329595915973186,0.5866009046634039
5,101,Q0,en.noclean.c4-train.04871-of-07168.129759,6,28.28580093383789,-0.0353030636906623,0.4305164019266765
6,101,Q0,en.noclean.c4-train.06612-of-07168.123234,7,26.77239990234375,-0.0735726729035377,0.4722270170847575
7,101,Q0,en.noclean.c4-train.04757-of-07168.46912,8,26.72690010070801,-0.0888877585530281,0.4665976663430532
8,101,Q0,en.noclean.c4-train.05798-of-07168.122738,9,26.62400054931641,-0.0888880863785743,0.4665976663430532
9,101,Q0,en.noclean.c4-train.01560-of-07168.101526,10,27.3351993560791,-0.0909163728356361,0.3128872538606326
1000,102,Q0,en.noclean.c4-train.02181-of-07168.71052,1,21.23660087585449,-0.0041064233519136,0.3584751474360625
1001,102,Q0,en.noclean.c4-train.00962-of-07168.115130,2,24.91760063171387,-0.0048639308661222,0.602528989315033
1002,102,Q0,en.noclean.c4-train.06367-of-07168.64044,3,18.969900131225586,-0.0070101497694849,0.3324416478474935
1003,102,Q0,en.noclean.c4-train.04272-of-07168.119320,4,18.803600311279297,-0.0093118166550993,0.5521248479684194
1004,102,Q0,en.noclean.c4-train.05470-of-07168.42507,5,19.68409919738769,-0.0105167003348469,0.4156264712413152
1005,102,Q0,en.noclean.c4-train.04054-of-07168.17837,6,20.828800201416016,-0.0123128294944763,0.3592839216192563
1006,102,Q0,en.noclean.c4-train.00960-of-07168.97443,7,20.96249961853028,-0.0133694354444742,0.5323688785235087
1007,102,Q0,en.noclean.c4-train.03875-of-07168.82253,8,21.50480079650879,-0.0134620023891329,0.5123240898052851
1008,102,Q0,en.noclean.c4-train.06310-of-07168.68525,9,24.038799285888672,-0.0138039691373705,0.3305275316039721
1009,102,Q0,en.noclean.c4-train.04575-of-07168.97694,10,20.277999877929688,-0.0167596656829118,0.40526986743013066
2000,103,Q0,en.noclean.c4-train.06165-of-07168.10154,1,25.637699127197266,-0.0097016030922532,0.4828358869999647
2001,103,Q0,en.noclean.c4-train.03691-of-07168.86238,2,24.84819984436035,-0.013195333071053002,0.4236821681261063
2002,103,Q0,en.noclean.c4-train.00143-of-07168.80193,3,23.51860046386719,-0.0137198995798826,0.4656423504153888
2003,103,Q0,en.noclean.c4-train.05740-of-07168.146247,4,23.54700088500977,-0.0173537191003561,0.4895750234524409
2004,103,Q0,en.noclean.c4-train.02722-of-07168.92715,5,24.08029937744141,-0.0181341581046581,0.4817570298910141
2005,103,Q0,en.noclean.c4-train.00300-of-07168.104925,6,24.80150032043457,-0.0205221641808748,0.3829587446525693
2006,103,Q0,en.noclean.c4-train.02427-of-07168.59562,7,24.00740051269531,-0.0218884646892547,0.5199227680762609
2007,103,Q0,en.noclean.c4-train.04534-of-07168.120101,8,23.77879905700684,-0.0256386045366525,0.42695285876591993
2008,103,Q0,en.noclean.c4-train.06087-of-07168.30596,9,23.78709983825684,-0.0288063157349824,0.4041091998418172
2009,103,Q0,en.noclean.c4-train.03371-of-07168.34856,10,24.71389961242676,-0.0306392908096313,0.4695986906687419
3000,104,Q0,en.noclean.c4-train.02321-of-07168.129059,1,20.213499069213867,-0.0111431190744042,0.4400586647291978
3001,104,Q0,en.noclean.c4-train.04101-of-07168.14192,2,20.08300018310547,-0.0135272769257426,0.2360201788445314
3002,104,Q0,en.noclean.c4-train.03001-of-07168.14973,3,20.0013427734375,-0.0151008032262325,0.3933388963341713
3003,104,Q0,en.noclean.c4-train.03581-of-07168.2828,4,20.001331329345703,-0.0151008032262325,0.3933388963341713
3004,104,Q0,en.noclean.c4-train.03547-of-07168.105773,5,20.001333236694336,-0.0151008032262325,0.3933388963341713
